id_joueur;pseudo;nom;prenom;mail
1;'Akinori';'Martin';'Axel';'axel.martin@me.com'
2;'Thor';'Bernard';'Evan';'evan.bernard@me.com'
3;'Maximus';'Thomas';'Alexis';'alexis.thomas@me.com'
4;'Exterminateur';'Petit';'Antoine';'antoine.petit@me.com'
5;'Vainqueur';'Robert';'Adam';'adam.robert@me.com'
6;'Naoki';'Richard';'Baptiste';'baptiste.richard@me.com'
7;'Sniper';'Durand';'Enzo';'enzo.durand@me.com'
8;'RockyBalboa';'Dubois';'Leo';'leo.dubois@me.com'
9;'Jaguar';'Moreau';'Lucas';'lucas.moreau@me.com'
10;'Torpille';'Laurent';'Gabriel';'gabriel.laurent@me.com'
11;'Hazzard';'Simon';'Raphael';'raphael.simon@me.com'
12;'Satoshi';'Michel';'Hugo';'hugo.michel@me.com'
13;'Scorpion';'Lefebvre';'Romain';'romain.lefebvre@me.com'
14;'Mcgregor';'Leroy';'Jules';'jules.leroy@me.com'
15;'Cobra';'Roux';'Louis';'louis.roux@me.com'
16;'Hawk';'David';'Mathis';'mathis.david@me.com'
17;'Wunderkind';'Bertrand';'Valentin';'valentin.bertrand@me.com'
18;'Zombie';'Morel';'Ethan';'ethan.morel@me.com'
19;'Napoléon';'Fournier';'Kylian';'kylian.fournier@me.com'
20;'Coyote';'Girard';'Matheo';'matheo.girard@me.com'
21;'Rock';'Bonnet';'Aaron';'aaron.bonnet@me.com'
22;'Whiskey';'Dupont';'Alex';'alex.dupont@me.com'
23;'CRMessi';'Lambert';'Augustin';'augustin.lambert@me.com'
24;'Le_grand_Gamer';'Fontaine';'Gael';'gael.fontaine@me.com'
25;'Pilules_contre_la_douleur';'Rousseau';'Gabin';'gabin.rousseau@me.com'
26;'Leon';'Vincent';'Jean';'jean.vincent@me.com'
27;'Kitsune';'Muller';'Jeremy';'jeremy.muller@me.com'
28;'Massacre';'Lefevre';'Diego';'diego.lefevre@me.com'
29;'Goblete';'Faure';'Lorenzo';'lorenzo.faure@me.com'
30;'TurboSquat';'Andre';'Rafael';'rafael.andre@me.com'
31;'HangLoose';'Mercier';'Samuel';'samuel.mercier@me.com'
32;'Ordinateur_central';'Blanc';'Sacha';'sacha.blanc@me.com'
33;'CyberMancer';'Guerin';'Martin';'martin.guerin@me.com'
34;'Silex';'Boyer';'Luca';'luca.boyer@me.com'
35;'Pehkonen';'Garnier';'Noé';'noé.garnier@me.com'
36;'M_Mavros';'Chevalier';'Tiago';'tiago.chevalier@me.com'
37;'PointlessShot';'Francois';'Eliot';'eliot.francois@me.com'
38;'Salty_BR';'Legrand';'Elouan';'elouan.legrand@me.com'
39;'TankLow';'Gauthier';'Ilan';'ilan.gauthier@me.com'
40;'TrapTok';'Garcia';'Luka';'luka.garcia@me.com'
41;'ScourgeWolf';'Perrin';'Lorenzo';'lorenzo.perrin@me.com'
42;'SkyLord';'Robin';'Mathias';'mathias.robin@me.com'
43;'Drakkoo';'Clement';'Matthieu';'matthieu.clement@me.com'
44;'Guacanarix';'Morin';'Gaetan';'gaetan.morin@me.com'
45;'Anaphylaxie';'Nicolas';'Gaspard';'gaspard.nicolas@me.com'
46;'Claverol';'Henry';'Morgan';'morgan.henry@me.com'
47;'Ronak';'Roussel';'Rafael';'rafael.roussel@me.com'
48;'Manteau_de_tonnerre';'Mathieu';'Kilian';'kilian.mathieu@me.com'
49;'Nygrum';'Gautier';'Samuel';'samuel.gautier@me.com'
